ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1430600094.3206,template1,0,0,0,0,0,0,0,0,0,0
1430600094.3206,template0,0,0,0,0,0,0,0,0,0,0
1430600094.3206,postgres,0,1742,4,2181,72657,788715,23485,0,0,0
1430600094.3206,dbt2,16,325,3,254065,196796,8349708,28807,2036595,1050,1778
1430600154.35253,template1,0,0,0,0,0,0,0,0,0,0
1430600154.35253,template0,0,0,0,0,0,0,0,0,0,0
1430600154.35253,postgres,0,1744,4,2233,73434,790137,23905,0,0,0
1430600154.35253,dbt2,45,47812,202,508772,18379203,13816955,1637631,2327712,530368,19028
1430600214.35282,template1,0,0,0,0,0,0,0,0,0,0
1430600214.35282,template0,0,0,0,0,0,0,0,0,0,0
1430600214.35282,postgres,0,1746,4,2260,73464,791051,23916,0,0,0
1430600214.35282,dbt2,45,90932,391,822844,49949362,21220106,3082293,2589745,1004857,34608
1430600274.38455,template1,0,0,0,0,0,0,0,0,0,0
1430600274.38455,template0,0,0,0,0,0,0,0,0,0,0
1430600274.38455,postgres,0,1748,4,2287,73494,791965,23927,0,0,0
1430600274.38455,dbt2,44,144297,657,1222709,74724580,24762863,4948302,2915736,1608950,53700
1430600334.40935,template1,0,0,0,0,0,0,0,0,0,0
1430600334.40935,template0,0,0,0,0,0,0,0,0,0,0
1430600334.40935,postgres,0,1748,4,2287,73494,791965,23927,0,0,0
1430600334.40935,dbt2,46,202292,923,1612939,84456457,27948144,7008139,3267782,2281293,75460
1430600394.39946,template1,0,0,0,0,0,0,0,0,0,0
1430600394.39946,template0,0,0,0,0,0,0,0,0,0,0
1430600394.39946,postgres,0,1748,4,2287,73494,791965,23927,0,0,0
1430600394.39946,dbt2,45,260489,1161,2009689,94633924,31565486,9050827,3618658,2940364,96080
1430600454.46852,template1,0,0,0,0,0,0,0,0,0,0
1430600454.46852,template0,0,0,0,0,0,0,0,0,0,0
1430600454.46852,postgres,0,1748,4,2287,73494,791965,23927,0,0,0
1430600454.46852,dbt2,45,302760,1353,2449968,114010593,46034003,10556324,3874006,3423903,111020
1430600514.44789,template1,0,0,0,0,0,0,0,0,0,0
1430600514.44789,template0,0,0,0,0,0,0,0,0,0,0
1430600514.44789,postgres,0,1750,4,2314,73524,792879,23938,0,0,0
1430600514.44789,dbt2,45,347442,1538,3093182,130662453,57363137,12160312,4147817,3943726,127209
1430600574.47349,template1,0,0,0,0,0,0,0,0,0,0
1430600574.47349,template0,0,0,0,0,0,0,0,0,0,0
1430600574.47349,postgres,0,1750,4,2314,73524,792879,23938,0,0,0
1430600574.47349,dbt2,48,381263,1691,4084915,155630661,78789904,13371173,4356473,4336116,139109
1430600634.49446,template1,0,0,0,0,0,0,0,0,0,0
1430600634.49446,template0,0,0,0,0,0,0,0,0,0,0
1430600634.49446,postgres,0,1750,4,2314,73524,792879,23938,0,0,0
1430600634.49446,dbt2,47,408377,1855,5474654,183663225,104612572,14350525,4522458,4655015,148439
1430600694.56584,template1,0,0,0,0,0,0,0,0,0,0
1430600694.56584,template0,0,0,0,0,0,0,0,0,0,0
1430600694.56584,postgres,0,1752,4,2341,73554,793793,23949,0,0,0
1430600694.56584,dbt2,48,431869,1953,7285666,212889364,132405271,15194205,4666887,4925851,156020
1430600754.52149,template1,0,0,0,0,0,0,0,0,0,0
1430600754.52149,template0,0,0,0,0,0,0,0,0,0,0
1430600754.52149,postgres,0,1756,4,2395,74480,794418,24473,0,0,0
1430600754.52149,dbt2,5,35,0,56905,122380,1703,1581,1380288,0,0
